YYMMDDHHMMSS.SSS,XFVX(FPS) INNER (DEG),X,VY (FPS) MIDDLE (DEG),Y,VZ (FPS) OUTER (DEG),Z,RANGE (FT),
690720201409.164125,36.1010742,   36.1010742,     .3845215,     .3845215,     .6921387,     .6921387,"3,269.37",1
690720201410.145125,35.1123047,   35.1123047,     .8129883,     .8129883,     .6811523,     .6811523,,1
690720201411.164125,35.4099355,   35.4099355,.7690430,     .769043 ,     .6481934,     .6481934,"3,145.29",1
690720201412.027125,35.9044434,   35.9044434,     .3295898,     .3295898,     .6921387,     .6921387,,1
690720201413.164125,36.0900878,   36.0900878,     .3295898,     .3295898,     .5603027,     .5603027,"3,048.18",1
690720201414.164125,36.8811035,   36.8811035,     .0549316,     .0549316,     .5712891,     .5712891,,1
690720201415.164125,36.2548828,   36.2548828,.6042480,     .604248 ,     .5712891,     .5712891,"2,864.75",1
690720201416.047125,36.0131836,   36.0131836,    1.3293457,    1.3293457,     .5053711,     .5053711,,1
690720201417.164125,35.4968262,   35.4968262,    1.6699219,    1.6699219,.6701660,     .670166 ,"2,719.08",1
690720201418.055125,34.7937012,   34.7937012,2.1423340,    2.142334 ,     .7250977,     .7250977,,1
690720201419.164125,34.5300293,   34.5300293,2.0764160,    2.076416 ,     .7580566,     .7580566,"2,595.00",1
690720201420.066125,33.7609863,   33.7609863,    1.8017578,    1.8017578,     .8459473,     .8459473,,1
690720201421.875125,33.3984375,   33.3984375,     .5493164,     .5493164,     .9008789,     .9008789,,1
690720201423.164125,32.5085449,   32.5085449,  359.3188477,-     .6811523,1.5051270,    1.505127 ,"2,316.61",1
690720201423.984125,32.5085449,   32.5085449,  358.5058594,-    1.4941406,    1.8566895,    1.8566895,,1
690720201425.164125,32.2998047,   32.2998047,  358.6706543,-    1.3293457,    2.5158691,    2.5158691,"2,177.42",1
690720201426.164125,32.4865723,   32.4865723,  359.5385742,-     .4614258,    3.0102539,    3.0102539,,1
690720201427.164125,32.8820801,   32.8820801,  359.9230957,-     .0769043,    3.2299805,    3.2299805,"2,085.71",1
690720201428.027125,32.4316406,   32.4316406,     .1208496,     .1208496,    3.3618164,    3.3618164,,1
690720201429.164125,32.1020508,   32.1020508,     .1428223,     .1428223,    3.4606934,    3.4606934,"1,960.54",1
690720201430.176125,30.9045410,   30.904541 ,  359.4726562,-     .5273438,    3.2189941,    3.2189941,,1
690720201431.164125,29.4104004,   29.4104004,  359.2529297,-     .7470703,    3.0432129,    3.0432129,"1,853.72",1
690720201432.277125,28.9940430,   28.994043 ,359.3298340,-     .670166 ,    2.7905273,    2.7905273,,1
690720201433.164125,28.0371094,   28.0371094,  359.4836426,-     .5163574,    2.5598145,    2.5598145,"1,749.06",1
690720201433.965125,27.7954102,   27.7954102,     .0439453,     .0439453,    2.4609375,    2.4609375,,1
690720201435.164125,27.8723145,   27.8723145,     .3295898,     .3295898,    2.1862793,    2.1862793,"1,664.90",1
690720201435.957125,27.4328613,   27.4328613,     .4174805,     .4174805,    1.9775391,    1.9775391,,1
690720201437.176125,27.6416016,   27.6416016,     .7470703,     .7470703,    1.7578125,    1.7578125,"1,573.18",1
690720201437.957125,27.7075195,   27.7075195,     .5932617,     .5932617,    1.5380859,    1.5380859,,1
690720201439.176125,27.4548340,   27.454834 ,     .6921387,     .6921387,    1.1645508,    1.1645508,"1,469.60",1
690720201440.055125,27.9272461,   27.9272461,.8020020,     .802002 ,    1.2084961,    1.2084961,,1
690720201441.176125,28.8171387,   28.8171387,  359.9890137,-     .0109863,    1.1975098,    1.1975098,"1,401.62",1
690720201442.156125,30.7177734,   30.7177734,     .2307129,     .2307129,    1.1975098,    1.1975098,,1
690720201444.387125,37.0153809,   37.0153809,     .2307129,     .2307129,    1.340332 ,    1.340332 ,,1
690720201445.207125,25.4003906,   25.4003906,     .2856445,     .2856445,    1.3623047,    1.3623047,"1,228.98",1
690720201446.437125,24.5214844,   24.5214844,     .1098633,     .1098633,    1.5380859,    1.5380859,,1
690720201447.207125,24.6972656,   24.6972656,     .3955078,     .3955078,    1.4831543,    1.4831543,"1,162.08",1
690720201448.047125,25.1477051,   25.1477051,     .8459473,     .8459473,1.4721680,    1.472168 ,,1
690720201449.207125,25.8947754,   25.8947754,    1.0217285,    1.0217285,    1.6479492,    1.6479492,"1,093.03",1
690720201450.066125,26.2353516,   26.2353516,    1.1535645,    1.1535645,    1.5930176,    1.5930176,,1
690720201451.215125,26.0925293,   26.0925293,     .8459473,     .8459473,    1.5161133,    1.5161133,"1,027.21",1
